objectid,Thumbnail,Character,Band,Merch Type,Title,Collab,Preorder,Purchased From,Quantity,Tags,Pictures,Auto-Tags,Color
1386,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97NlvPjRNTW5aqlgtzn9KssQZ7WSB_Q87aLs653RbTzkkLGusMWKu559m2wDScbwGfBsqfi9ZfWqfNgfx1PBR1UEObzKQ3-C47pZsqJjj_q6VTNcBjykUyO_L8POEEUAG7nd76tUikqcAdf-3bS5ipV7C3soCor4XB_J0lMLvf-CKGp4VpoZAsUVkihQrtaoXoaKFT2,Yukina Minato,Roselia,Badge - Can,,Special☆LIVE Girls Band Party! 2020→2022,false,,1,,,yukina-minato vocalist roselia live special-live-2020-2022 can badge button pin can-badge can-button can-pin,"#881188"
1387,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94a9n1h9hM6t2tp6z4y7RUuZVGH-O7xO1eP2hA8j2NW4IYfiLVLc3LHI0j4WTAOl9aEWp5JflR-ItU5B6rgcCs20fyWQ9bGEJ9Dmvcl6Qh-EPjifZ655Nm-ifZMTMn8VcEezQtVPl3u9fuaosYLLlUQQqzkd8xkThr7wG_2YsQxxv0SKb6Dwmz0AYFHd1uSYe2v8cXQ,Hagumi Kitazawa,"Hello, Happy World!",Keychain - Acrylic,,,false,,1,ani-art,,hagumi-kitazawa hello-happy-world hhw harohapi acrylic keychain acrylic-keychain,"#FF9922"
1388,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95-p-wd-fP_AjhOYTSEaUmvF4ZSDaglcKwZyRjiLOY9LAlpjXNXGoD9yZjbTqOdPGfWXqRtdFKPfoP_GjVQt-YrSU0jXqNYpikXwsZTC6JTjDPev9HWJYKLcWYLOVKTr8k_ya6Fps1oe1bwZFoM7SjXKsphE2KbRSC2kARJJg9Vuk5Zm_v5mG_SeuLdeUHXKNrhdR8k,Tae Hanazono,Poppin'Party,Acrylic Stand with Keychain,,,false,,1,,,tae-hanazono poppin-party popipa acrylic stand acrylic-stand acrylic-keychain keychain acrylic-stand-with-keychain stand-with-keychain,"#0077DD"
1389,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94A9ZKWZlCWo3EniPiRV6kKHFmc_YYPNfLifxdPNli1zWn3A8rXFOYhmye3zbm2UzorBK2mB2KCAb1O-CjfT1wOL8H11pmWRbTM9tBS3wgF6T4K_syEepH6FNjmvah9RKMMr3KFyRBsCS-_M7oqc1pV-50jWgKoXbaoWes1xEJVkU88Fif4XYvfqTGWorUuWyl79LN4,Kanon Matsubara,"Hello, Happy World!",Keychain - Acrylic,,,false,,1,pico,,kanon-matsubara hello-happy-world hhw harohapi acrylic keychain acrylic-keychain,"#44DDFF"
1390,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94BQmhvGqytakiEl-MIMGlW3uUQy_u6iUYzc5QFIizqwtQ_TVykT6E-PcEhCHJCGpRVYPld6I66mp9GA0oHKQiJ4lEG4TAnAN1EDsxs1QgpB9YQDKlbkEzSFn0PN51PeNwitAWOkGodbIAucDm2rVybm-OXBXrXoTLTjL5vSCbzmtNfzrtSpEKSaR7aNgW7KJyKbVnO,Hagumi Kitazawa,"Hello, Happy World!",Flat - Sticker,,,false,,1,birthday birthday-box,,hagumi-kitazawa hello-happy-world hhw harohapi flat sticker,"#FF9922"
1391,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97TCJGh8wY4qluKQ7K9Uk_A-_qMiFjI_MYYPEOQ-C2HT-r2DBCRHELcCAp4k04JQVWlQQ9rJM4OAvSOeFzLCfpVhKz6X0u9cLumtaF4pEN0FbJ7C-wDJmZEEcG0vCzMhy6jgrSJSIqpldhM3R8NxD1U_O8ErwaJM1f2LDwozrR_FaOXAYRqfm85o1h-Ffx0GQu4ATjd,Tsugumi Hazawa,Afterglow,Keychain - Rubber,,,false,,1,,,tsugumi-hazawa afterglow rubber keychain rubber-keychain,"#FFEE88"
1392,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95spTNqUipwMVOMM96QArUcYC_1RPxI-aM8vMXReG_f9EeVTaLj8_Ubf7cxdGZniljERr9-kUAP3YnwE-hDCgx3wz_SWPDA8DgaXozFiIbKBDZC8lDhc-6KZhEhK5Bir_Qy-lpx4ola84Et1-g8PqXlHqd1J7L7LwlnIIhKST_zOGUXpHX8LAId1CjNDsbuKMwpZw24,Kokoro Tsurumaki,"Hello, Happy World!",Acrylic Stand,,Thanks Caravan 2021,false,Bushiroad JP,1,,,kokoro-tsurumaki vocalist hello-happy-world hhw harohapi bushiroad bushiroad-online bushiroad-jp thanks-caravan-2021 acrylic stand acrylic-stand,"#FFEE22"
1393,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97HJzGSBvnnV65hbUvkTc_oS0kmHNTp6Jthv0jURT4yKpAHyuJedLcCPLr8qHtU2i7viRt6NDimvZDDwgA9NgXgqMGJ7XD1h6V30PXL2jvYjfYiy-xlZrMaiiGzZsTsr8hdCSr66OfrlQqk0niGIn1ZuHlQHQw-3qEs9hpznUcZL43wrgs71o9yONIRQyL6WIxiOtkw,"Ako Udagawa, Lisa Imai, Rinko Shirokane, Sayo Hikawa, Yukina Minato",Roselia,Trading Cards,Storage Box,,false,AmiAmi,1,storage-box,,ako-udagawa lisa-imai rinko-shirokane sayo-hikawa yukina-minato roselia amiami tcg cards trading-cards,"#3344AA"
1394,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97o7LBvxU8y9aHzv-N1jCR3dxMhnFxPWYlwrApPTt95SFzsAU69RQxZ8YP00w28st2M2icfpyIWydkoWT8RLgL7_DV6UOFhHvmMTOroOSvpXZIovS3WbiPlbr-uKbk2So8QwBgPN9KpOP_xlBjHKQ3QcYYjVaC2wSqjsmWlzoNEexbRXzm-wsbyBJlpN-77lwoVfqkl,Hagumi Kitazawa,"Hello, Happy World!",Plush,,,false,,1,smile-seeker,,hagumi-kitazawa hello-happy-world hhw harohapi plush,"#FF9922"
1395,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv975nXR0yMqKvVp2Npbd54mr88aBXqr0vk_PEGCMHCtwWYf55ybwRUfI8qyfHEYbi67_vaPzVtHgBFojy78mJyWw6frOOI_PqoO2B0JQ10YXHXTOjDfPg33_qwVJjTmUvIKGDeUl-F9_9VNMPOQ9FXFIULSY5l8bqENhQol-dzoT5eNZkt_bD25U4J_zFbCqIOhZzkey,Yukina Minato,Roselia,Keychain - Other,,BanG Dream!×Bkub Okawa,false,,1,bkub-okawa,,yukina-minato vocalist roselia bkub-okawa keychain,"#881188"
1396,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94Iv9JLbRmxGFnoPqO35TPlRfQv9W-iNMojaK2SG8DdTfY_k--yWtda3ww85yqYsEwi96-_uDysTQxwe-bNe0ej1XL853toQZ-n23Le8dc4p4IfAr4PKGTK6Uy9d271bFTz5QDAKW8DwK98BdioGtB3qBpCJXBF3EIhvFs0VKqcFzrdATKjfL3pq92WDQFxbJiHi4Nu,Eve Wakamiya,Pastel*Palettes,Badge - Can (Square),,,false,,1,ichiban-kuji square-badge bushido,,eve-wakamiya pastel-palettes pasupare can badge button pin can-badge can-button can-pin square square-badge,"#DDBBFF"
1397,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95rEzPdi85diVMOsdbrNLhF39TZBdrYo2YMCV6mHoWnITX6of7rp8JYEMNfFTyjzk-_IFlaoSkTsA2VCpN1Z9qpqSpax-o-BjI_7erRuOSth44sRZ5Xn9Z8g1mu1wHk2jln9H6RbGYT7mJvIWBqm6xQe7qp-TFIkob9vUtpuI_20ckExBN6a84VYmJegdb-u1weW2o9,Toko Kirigaya,Morfonica,Acrylic Stand,,,false,Craft Egg,1,5th-anniversary,,toko-kirigaya morfonica monica craft-egg acrylic stand acrylic-stand,"#EE6666"
1398,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv96nHKCscfhHUw8C-0QWYvgUPO-AzPRqpTeVneQyMpNmh8UwHFVaYtfE78dpZhQnfJQo4R6HJdONsdY2dCAn6VKySn5Hzgn_BUVKu2z6AdLFx06fy6KJIb1XN4poxzofz9hIHxUe7b2UUzkVquqmbBpHF0RKrhSC-mU4OH2tRctD9g6qzrHk5oKS_DXJIN7hb66wzKNU,Hagumi Kitazawa,"Hello, Happy World!",Flat - Sticker,,,false,,1,smile-seeker,,hagumi-kitazawa hello-happy-world hhw harohapi flat sticker,"#FF9922"
1399,https://mementoserver-hrd.appspot.com/blob/get?uid=4821114478919680&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,MASKING,RAISE A SUILEN,Flat - Bookmark,,Twinkle Party! 2022,false,Bushiroad JP,1,twinkle-party,,masking masuki-satou drummer raise-a-suilen ras bushiroad bushiroad-online bushiroad-jp twinkle-party twinkle-party-2022 flat bookmark book-mark,"#EEBB44"
1400,C:\Users\shewh\.memento\files\1203760144\1254542681\PXL_20230128_234158011.PORTRAIT.jpg,Kasumi Toyama,Poppin'Party,Keychain - Acrylic,Trading Star Keychain vol.1 sideA,,false,Bushiroad JP,1,,,kasumi-toyama poppin-party popipa bushiroad bushiroad-online bushiroad-jp acrylic keychain acrylic-keychain,"#FF5522"
1401,https://mementoserver-hrd.appspot.com/blob/get?uid=5917680163356672&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Kaoru Seta,"Hello, Happy World!",Keychain - Acrylic,Trading Star Keychain vol.1 sideB,,false,Bushiroad JP,1,,,kaoru-seta hello-happy-world hhw harohapi bushiroad bushiroad-online bushiroad-jp acrylic keychain acrylic-keychain,"#AA33CC"
1402,https://mementoserver-hrd.appspot.com/blob/get?uid=5499385144672256&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,"Kasumi Toyama, Ran Mitake, Aya Maruyama, Yukina Minato, Kokoro Tsurumaki, Mashiro Kurata, LAYER","Poppin'Party, Afterglow, Pastel*Palettes, Roselia, Hello, Happy World!, Morfonica, RAISE A SUILEN",Badge - Can,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,kasumi-toyama vocalist ran-mitake aya-maruyama yukina-minato kokoro-tsurumaki mashiro-kurata layer rei-wakana bassist poppin-party popipa afterglow pastel-palettes pasupare roselia hello-happy-world hhw harohapi morfonica monica raise-a-suilen ras chara-ani garupa-hotel can badge button pin can-badge can-button can-pin,"#FF3377"
1403,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95PkCTCYMmaom63AejJjLdf4duRRDleuQ75TAXB4KSp4k_Ur5u2nMGw-GW0t0FmbAwwTOxtVU4JRfHNdgeg7IOHCkLaM8ZvyQIERQ8ovoQ29yFmGZG4YRKO-GeRCw23bMAYO2J8QLQEIsscdWXjmal6e2u0Z8y_pIzfdfbLD03f7kc5fb6TipEv2v7FD_Vjv37lCbve,"Lisa Imai, Yukina Minato, Sayo Hikawa, Ako Udagawa, Rinko Shirokane",Roselia,CD - Single,"""Swear ~Night & Day~"" [Regular Edition]",,false,Gamers,1,,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97NjE0oXDQ4-0lu8I9VT2JhleSjX0qAdN9WZdfCUnWnIFxYnP4l69K6k-OA0VTAZO0OQOUYlWQ3L1ZUw9xfo6_ezgVE7UkuWky-mTQheWeF0_MHf7Yu3y-4syrRNI5yDqjrYQ2kv9kQuZIhXsXUAXIH6aR7cR48uPAs0NYhXPoUTJTAlX6qEd9K9pQn7210fbuBwOLC,lisa-imai yukina-minato sayo-hikawa ako-udagawa rinko-shirokane roselia gamers cd cd-single single,"#3344AA"
1404,https://mementoserver-hrd.appspot.com/blob/get?uid=5249272455364608&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,LAYER,RAISE A SUILEN,Badge - Can,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,layer rei-wakana vocalist bassist raise-a-suilen ras chara-ani garupa-hotel can badge button pin can-badge can-button can-pin,"#CC0000"
1405,https://mementoserver-hrd.appspot.com/blob/get?uid=6473380648189952&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Kokoro Tsurumaki,"Hello, Happy World!",Badge - Can,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,kokoro-tsurumaki vocalist hello-happy-world hhw harohapi chara-ani garupa-hotel can badge button pin can-badge can-button can-pin,"#FFEE22"
1406,https://mementoserver-hrd.appspot.com/blob/get?uid=5627250985140224&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Yukina Minato,Roselia,Badge - Can,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,yukina-minato vocalist roselia chara-ani garupa-hotel can badge button pin can-badge can-button can-pin,"#881188"
1407,https://mementoserver-hrd.appspot.com/blob/get?uid=4916101708775424&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Ran Mitake,Afterglow,Badge - Can,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,ran-mitake vocalist afterglow chara-ani garupa-hotel can badge button pin can-badge can-button can-pin,"#EE0022"
1408,https://mementoserver-hrd.appspot.com/blob/get?uid=5926939106213888&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,LAYER,RAISE A SUILEN,Misc - Badge Holder,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,layer rei-wakana vocalist bassist raise-a-suilen ras chara-ani garupa-hotel misc badge-holder,"#CC0000"
1409,https://mementoserver-hrd.appspot.com/blob/get?uid=5540233672654848&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Kokoro Tsurumaki,"Hello, Happy World!",Misc - Badge Holder,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,kokoro-tsurumaki vocalist hello-happy-world hhw harohapi chara-ani garupa-hotel misc badge-holder,"#FFEE22"
1410,https://mementoserver-hrd.appspot.com/blob/get?uid=6212465176608768&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Yukina Minato,Roselia,Misc - Badge Holder,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,yukina-minato vocalist roselia chara-ani garupa-hotel misc badge-holder,"#881188"
1411,https://mementoserver-hrd.appspot.com/blob/get?uid=5628955718057984&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Ran Mitake,Afterglow,Misc - Badge Holder,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,ran-mitake vocalist afterglow chara-ani garupa-hotel misc badge-holder,"#EE0022"
1412,https://mementoserver-hrd.appspot.com/blob/get?uid=5147541423783936&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,LAYER,RAISE A SUILEN,Keychain - Acrylic,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,layer rei-wakana vocalist bassist raise-a-suilen ras chara-ani garupa-hotel acrylic keychain acrylic-keychain,"#CC0000"
1413,https://mementoserver-hrd.appspot.com/blob/get?uid=5076238624882688&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Kokoro Tsurumaki,"Hello, Happy World!",Keychain - Acrylic,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,kokoro-tsurumaki vocalist hello-happy-world hhw harohapi chara-ani garupa-hotel acrylic keychain acrylic-keychain,"#FFEE22"
1414,https://mementoserver-hrd.appspot.com/blob/get?uid=5737936654434304&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Yukina Minato,Roselia,Keychain - Acrylic,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,yukina-minato vocalist roselia chara-ani garupa-hotel acrylic keychain acrylic-keychain,"#881188"
1415,https://mementoserver-hrd.appspot.com/blob/get?uid=6614141591093248&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,Ran Mitake,Afterglow,Keychain - Acrylic,,Garupa Hotel,false,Chara-Ani,1,garupa-hotel,,ran-mitake vocalist afterglow chara-ani garupa-hotel acrylic keychain acrylic-keychain,"#EE0022"
1416,https://mementoserver-hrd.appspot.com/blob/get?uid=6159000618401792&lib=base64RzUyaGxLQnh0Q0FDMmhpNHdIITU%3D,"LAYER, LOCK, MASKING, PAREO, CHU²",RAISE A SUILEN,CD - Single,"""THE WAY OF LIFE"" [First Press Regular Edition]",,false,Tower Records,1,,,layer rei-wakana lock rokka-asahi masking masuki-satou pareo reona-nyubara chuchu chiyu-tamade raise-a-suilen ras tower-records tower cd cd-single single,"#22CCCC"
1417,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97sdY0s5hvXR5R8qI5cmym3yVlUMbPqfVtfvrefuEiOlR1i3JDp5Ft59ehMZ-wRTERn26VEmPCAdHfDWL8nAT3MZeHgCjdSi03BfxcAS_Gr1Eis-J8d6xYrn68FrcTwnSb0_0lX9JL9k1MvPw5x9tAQSxURsk47Eh6MeDf525JLqjtdabSfOHP8igvTfxZyqjZaUo86,Tae Hanazono,Poppin'Party,Flat - Bromide,,,false,,1,cd-benefit,,tae-hanazono poppin-party popipa flat bromide,"#0077DD"
1418,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94ssNMOEIv6DLj3jps2zNgxWn8As8MBvAsB3sre54tgzwhUFAWrqdTD-K5LcVNIghLymxqZMMdBAiJ3ewezXZMolBWgBi1Fb6L4biExHmeIHN0uP1Ob13NSUuJHIcXJvNt4ZxPaIO6TC7kfoDc_C7zrsv9GSfDgqBk-xtvhYTHTRAbllNl9A3k0msmla36TB3t41ySC,"Moca Aoba, Aya Maruyama, Kanon Matsubara, Tsugumi Hazawa, Lisa Imai","Afterglow, Pastel*Palettes, Hello, Happy World!, Roselia",Badge - Can (Benefit),,,false,,1,cd-benefit,,moca-aoba aya-maruyama kanon-matsubara tsugumi-hazawa lisa-imai afterglow pastel-palettes pasupare hello-happy-world hhw harohapi roselia can badge button pin can-badge can-button can-pin cd-extra cd-benefit,"#FFDD00"
1419,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv96sH-nvEeOmIFzEWOAp8glorvcLypGYXhnBAMWLsit1iScpNskKs1QgMcmWG1dDIweRvbYAToZHlEyYgPl7ePJ0iISWE5Ycwd_lf2DnjxUsKJKtQs3Jahs_WlAlq21jsIlaVNlEvzqOOowoyWtv_u6KQ3Vl_FEg-1cag6ZAKB9Emq_owN-F13nUjOKD2jwqQlxns216,Kasumi Toyama,Poppin'Party,Badge - Can,,Special☆LIVE Girls Band Party! 2020→2022,false,,1,live-merch,,kasumi-toyama vocalist poppin-party popipa live special-live-2020-2022 can badge button pin can-badge can-button can-pin,"#FF5522"
1420,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94HUjDcpt3Co7R54plxoEdN4LMW1Zc2kouRTAUYm_uqs5ODnVPoI7YHdxvKBwnhm69uD-bK7qRzUx0e0ZEmNhepFw8N6-6Zp3HjXdRr5qFDt8jQ5NJWOwjtoGNaF1ThfJCpHrYduBFOurP1R4n4kn1U3AVDMxqnjTr4wGoUPcacCWNhvVJ0VWV9HdYvqnkMg0VpUNrE,Kasumi Toyama,Poppin'Party,Badge - Can,,,false,,1,glow,,kasumi-toyama poppin-party popipa can badge button pin can-badge can-button can-pin,"#FF5522"
1421,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv96YzTCE6fPj-7uS_m2AhqqxjLF3kUC443j6qO-JekEksYBkVraPB_zogjfvpY4A0IowCEnT8azF2vh2uRl5YnGbCI6pnKGiar-hvF2DVmzXKdt-yzIazHk93JRZw11nDvNRl0eNj5YhbivzYgnHnpzOQIGjI0fqg3eCyCrCvfIi0ax_KbADQHR291p3o82KJUoC_RNo,Himari Uehara,Afterglow,Badge - Can,,Fuji-Q 2022,false,Bushiroad JP,1,fuji-q,,himari-uehara bassist afterglow bushiroad bushiroad-online bushiroad-jp fuji-q fuji-q-2022 can badge button pin can-badge can-button can-pin,"#FF9999"
1422,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94Xs26VkjvTJi972iUrY_2X3YIQCLIhfvFJngoMSKe7J5CfXngQl_hZNGuMiD5P2IE2Rkyhsu-RslGcozY6EcQKV4MXRKoH4-R-7GsoWOugNAJpw_EFSbx9eZu_Vr3j1BrAxkie2m2PMa7Zjmc7K6DgbyRbI_n6pmlS0MUtLYkipoxkS4ADaJ6_XQYw4TfOW5eD6vlx,Kasumi Toyama,Poppin'Party,Badge - Can,,Spring 2022 (Flower ver.),false,,1,,,kasumi-toyama vocalist poppin-party popipa animate-exclusive spring-2022 spring can badge button pin can-badge can-button can-pin,"#FF5522"
1423,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95YWgKCX4HwTpG7RuvPeCXMZRS4GyMfvMKBY9SVDkerTM_xbbFzSivcvtXhSXNlHFBSSkTGm3omOGw-NGYIdT1BTR1Dcbms-0VO1DZVtpK3vuaz2IRcQk7gB0aMlT79nG2YWf-FAoaOKd1ZRItlMQZ5NLRrAYAlC9WgpqThF-vMMPRZ_vcGy6HjcN2ouueldiLVbx37,Tae Hanazono,Poppin'Party,Badge - Can,,4th☆LIVE Miracle PARTY 2017!,false,,1,,,tae-hanazono guitarist poppin-party popipa live 4th-live 4th-live-miracle-party-2017 can badge button pin can-badge can-button can-pin,"#0077DD"
1424,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94v67d69fwvR1dojQxADkmoEKmK6qW5ko81FydzDwk1guPZPsJbMMwcCqXWzsf-dgBEYm92sEqtDb5DVpD-7PjuJ6U3GQmZuuPIGfbu9-GsG5Cz1EqXty9vkemutz-W7sHXYEyjXtbHxMTlSpQCBG5eawnAKVajDJqmRIFfud7jb1qc_E-tnUqdPeesXAawu-OWAX72,Tae Hanazono,Poppin'Party,Badge - Can,,,false,,1,,,tae-hanazono poppin-party popipa can badge button pin can-badge can-button can-pin,"#0077DD"
1425,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97X-TLn-SPFDnvzwsGIacQXaiPtISnkcffbPf2rcg49C1EDZk7BqA2UA0gpvtbuNll9jo2t23_bLaHfWUZZ57eeyaBbwQxWjgH5zKDFsKtxsNq2A6jv9Hx8hXjj6aXyfSetjW5SUxf0a-8LvliSJiV0RurHUvG9NU0d8uPqWpcA8ru3G7kR5-HCN1CPcq9YZKoUalfR,Kanon Matsubara,"Hello, Happy World!",Flat - Clearfile,Key Art,Fuji-Q 2022,false,Bushiroad JP,1,fuji-q,,kanon-matsubara drummer hello-happy-world hhw harohapi bushiroad bushiroad-online bushiroad-jp fuji-q fuji-q-2022 flat clearfile clear-file,"#44DDFF"
1426,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97FzhEdUytTyMGHhlnLt8DQiKKyTJww5jLYeydY6DvtYbcmORSb7Rk4IBp2i07R-EwUtZvmKL7bBUUaoHZeisr_hy7nRt2uR74rIv_QrNIAGEXf7ArjjlBsBBTU1dSqoB803MsjffALkWIbhbLjOJO7EuMMgO7iQl6m9k0UISMoBQ-j6iZuW7M85SMqLvpEcmEYE7ad,Arisa Ichigaya,Poppin'Party,Badge - Can (Benefit),,,false,,1,cd-benefit,,arisa-ichigaya poppin-party popipa can badge button pin can-badge can-button can-pin cd-extra cd-benefit,"#AA66DD"
1427,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97YCg3WdQ30wX-gNu-7e_12FbTasFoG9Z0te2nSpYzEsB2K0u1QIE2w6-RSy9PH6PsymkLuR9wJY8Xvqua5DrFv3aCONCombJufOSJkTINFg1mddfTxxPVSqC_LnDM1QZTmeZ1ZdfoCjeokJIZrCN-1Uv5HvHr7YQyhXBSdht1SGrjoo0d5kOtxZpTNPsopDAbyM2CB,Arisa Ichigaya,Poppin'Party,Badge - Can (Benefit),,,false,,1,cd-benefit,,arisa-ichigaya poppin-party popipa can badge button pin can-badge can-button can-pin cd-extra cd-benefit,"#AA66DD"
1428,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv97MTNuS-dR_l9r1z0Fit3y6MA1rJDzLJWVY3zD_W6u98lcM9k_faahk_fdadA0r_TCDmTymcHpcF-ZYD_YX4S3c-y2yYwJgBnHEYpeJoUUO7TbQP2an_X9kzwFOFmvurMAMk4Eorp_Ojs0dvZAIjdqAnsa-gepyZMJZOL5b10g_qLc1tDnAjWZAPou69iNILpSF85DV,Aya Maruyama,Pastel*Palettes,Badge - Can,,Spring 2021 (Present ver.),false,,1,,,aya-maruyama vocalist pastel-palettes pasupare animate-exclusive spring-2021 spring can badge button pin can-badge can-button can-pin,"#FF88BB"
1429,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94773q-LTE-V_fHF6wUXNUhHzUduP2VIHODOIfm08utdcEKIl3LJGWmOKE6070DG8HivPoP5Fnjk5N7FRvSRQ6X4v2f9KBAnifqpOrMsheVue0A1_dI_z6HGgb1YTupJU9VGlPLmUPRpFU-PTQxUcjCHRJLQqP2v0nC8yR3w9UUkicohwk28O7h3oZ3B3jWjqLU7lmL,Eve Wakamiya,Pastel*Palettes,Badge - Can,,BanG Dream!×Rody,false,,1,rody,,eve-wakamiya keyboardist pastel-palettes pasupare rody can badge button pin can-badge can-button can-pin,"#DDBBFF"
1430,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95G4m5I2E299Qlabp03j6n1BYc1H7Edx-QhNrIqhfNWp1TMSCP-IAZinMTGnIwxpQ_DhxJIPpHRiCACM84MXAayCd6N8pqSmMsYqA2Pv6M70-75kt6oyVYOFVoFY_2dbLbDjK3bfD-nrRrno59jVFpH4GjsQVpRsrDIvc-qf-aQsXcl7I0fBqCEvBzE6LinyVLah0Px,Ran Mitake,Afterglow,Badge - Can (Benefit),,,false,,1,cd-benefit,,ran-mitake afterglow can badge button pin can-badge can-button can-pin cd-extra cd-benefit,"#EE0022"
1431,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv94H5iADI9baZuhtRrqGvFokNPZbv7hQQK50MonNgVlD6XxQmaCksmU-vd_hg_YVxOIRZgNtAAYn06x3CF_REe05HiD9YRdpuXm3417TPBtKunQKivmtE7Ah_wbfg7LNSwOX3OZNksJtN4J4l2oZYHT8VTWhDTDhzdkY_jwxRxePx15oKLaVIb-zdsRsWoIAtnhkXN3_,Moca Aoba,Afterglow,Badge - Can,,,false,,1,glow,,moca-aoba afterglow can badge button pin can-badge can-button can-pin,"#00CCAA"
1432,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95J1Em6d2NCAvxx15M0gf420DC_WtaZ5wPNR1oXig6gwJnIltKZ6JwVfLIPZqfQrO7XiTKVZeurzW61PJNW874pjrXNw5Inf2IAtv-_S8ZI4-xrGiHRQySTY_x-C87V6iHWgGLEgTI-0mV1_alek5hyp3U2f4My2O4cxVOUOon6e1lp6Fm80W76l879Kn_oKsQWhRp_,Tsugumi Hazawa,Afterglow,Badge - Can,,,false,,1,ani-art,,tsugumi-hazawa afterglow can badge button pin can-badge can-button can-pin,"#FFEE88"
1433,https://mementoserver-hrd.appspot.com/blob/get?blob=AMIfv95wwe2_h5eT0Tr5HO1C6t75c3J2z1VEezBfx0xWJ7r2eyVWEEwAMovvJxB3kMp6SMxOpjkbREjsXq_NYGiVhySNSMa6vIK4GUUBXupCiMcKYXF-agSdccTl0TwSiZVHCi9sNQ-lSYjUkPh_a8BFJ3GAnGPHYYfnLo81zgJT8kC579JNMgvrZ4ecVH347kNKwc-p5rz1,Misaki Okusawa,"Hello, Happy World!",Badge - Can,,WEGO 2018 (Spring),false,,1,wego,,misaki-okusawa dj hello-happy-world hhw harohapi wego wego-2018 wego-2018-spring can badge button pin can-badge can-button can-pin,"#006699"
